ID,日本語,英語,中国語,
HomeFooter02,対戦,ROOM,對戰,
HomeFooter03,戦歴,RECORD,記錄,
HomeFooter04,闘技場,COLOSSEUM,競技場,
HomeHeader01,( 集計中:{0}/{1} ),( Aggregation:{0}/{1} ),( 統計中:{0}/{1} ),
HomeHeader02,名前：,NAME：,NAME：,
HomeHeader03,( 勝率:{0}% ),( WinRate:{0}% ),( 勝率:{0}% ),
Deck01,前列,FRONT,前排,
Deck02,後列,BACK,後排,
Deck03,敵,ENEMY,敵人,
Deck04,味方,ALLY,隊員,
Deck05,自分,SELF,自己,
Deck06,ダメージ,DAMAGE,損害,
Deck07,回復,RECOVERY,恢復,
Deck08,バフ,UP,強化,
Deck09,デバフ,DOWN,弱化,
Deck10,効果取消,CANCEL,解除,
CharaParamHP,HP,HP,HP,
CharaParamATK,ATK,ATK,物攻,
CharaParamDEF,DEF,DEF,物防,
CharaParamMATK,MATK,MATK,魔攻,
CharaParamMDEF,MDEF,MDEF,魔防,
CharaParamWAIT,WAIT,WAIT,WAIT,
BattleResultWin,勝利,WIN,勝,
BattleResultLose,敗北,LOSE,敗,
BattleResultVS,VS.,VS.,VS.,
BattleSkip,スキップ,SKIP,略過,
BattleDraw,引き分け,DRAW,打和,
VsDesc,★ 対戦したいプレイヤーを検索 ★<br><size=26><br>Room IDを入力して<br>検索ボタンで対戦できます</size>,★ Search player you want to play ★<br><size=26><br>Enter the Room ID<br>and push Search</size>,★ 對戰 ★<br><size=26><br>輸入Room ID後<br>按搜尋</size>,
Vs01,検索,Search,搜尋,
Vs02,マイ・ルーム,My Room,我的房間,
Vs03,Room ID:<color=red>{0}</color> ({1}),Room ID:<color=red>{0}</color> ({1}),Room ID:<color=red>{0}</color> ({1}),
Vs04,有効,Valid,有效,
Vs05,無効,Invalid,無効,
Vs06,このデッキで登録しましょう,Register with this deck,登記這個隊形,
Vs07,登録,Register,登記,
強打,強打,BANG,重擊,
魔法,魔法,MAGIC,魔法,
回復,回復,RECOVERY,恢復,
物攻強化,ATK強化,ATK UP,物攻強化,
魔攻強化,MATK強化,MATK UP,魔攻強化,
駿足,駿足,SPEED UP,駿足,
物防強化,DEF強化,DEF UP,物防強化,
魔防強化,MDEF強化,MDEF UP,魔防強化,
治療,治療,THEAPY,治療,
妨害,妨害,JAMMING,妨害,
物防弱化,DEF弱化,DEF DOWN,物防弱化,
魔防弱化,MDEF弱化,MDEF DOWN,魔防弱化,
Damage,ダメージ,Damage,損害,
DamageRatio,割合ダメージ,Percentage Damage,百分比損害,
Recovery,回復,Recovery,恢復,
RecoveryRatio,割合回復,Percentage Recovery,百分比恢復,
Buff_Atk,物理攻撃力,ATK,物理攻撃力,
Buff_Def,物理防御力,MATK,物理防禦力,
Buff_MAtk,魔法攻撃力,DEF,魔法攻撃力,
Buff_MDef,魔法防御力,MDEF,魔法防禦力,
Buff_Wait,素早さ,SPEED,速度,
Debuff_Atk,物理攻撃力,ATK,物理攻撃力,
Debuff_Def,物理防御力,MATK,物理防禦力,
Debuff_MAtk,魔法攻撃力,DEF,魔法攻撃力,
Debuff_MDef,魔法防御力,MDEF,魔法防禦力,
Debuff_Wait,素早さ,SPEED,速度,
BuffCancel_Atk,物理攻撃アップ効果,ATK UP Effect,物理攻撃力強化,
BuffCancel_Def,物理防御アップ効果,MATK UP Effect,物理防禦力強化,
BuffCancel_MAtk,魔法攻撃アップ効果,DEF UP Effect,魔法攻撃力強化,
BuffCancel_MDef,魔法防御アップ効果,MDEF UP Effect,魔法防禦力強化,
BuffCancel_Wait,素早さアップ効果,SPEED UP Effect,速度增加,
BuffCancel_All,すべてアップ効果,ALL Positive Effect,全部強化効果,
DebuffCancel_Atk,物理攻撃ダウン効果,ATK DOWN Effect,物理攻撃力弱化,
DebuffCancel_Def,物理防御ダウン効果,MATK DOWN Effect,物理防禦力弱化,
DebuffCancel_MAtk,魔法攻撃ダウン効果,DEF DOWN Effect,魔法攻撃力弱化,
DebuffCancel_MDef,魔法防御ダウン効果,MDEF DOWN Effect,魔法防禦力弱化,
DebuffCancel_Wait,素早さダウン効果,SPEED DOWN Effect,速度下降,
DebuffCancel_All,すべてダウン効果,ALL Negative Effect,全部弱化効果,
指定されたIDが存在しません,指定されたRoom IDが存在しません,Room ID Not Found,不存在的Room ID,
Format_Damage,{0} + <color=red>{1}</color> %,{0} + <color=red>{1}</color> %,{0} + <color=red>{1}</color> %,
Format_DamageRatio,<color=red>{1}</color> % {0},<color=red>{1}</color> % {0},<color=red>{1}</color> % {0},
Format_Recovery,{0} + <color=red>{1}</color> %,{0} + <color=red>{1}</color> %,{0} + <color=red>{1}</color> %,
Format_RecoveryRatio,<color=red>{1}</color> % {0},<color=red>{1}</color> % {0},<color=red>{1}</color> % {0},
Format_Buff_Atk,{0} + <color=red>{1}</color>,{0} + <color=red>{1}</color>,{0} + <color=red>{1}</color>,
Format_Buff_Def,{0} + <color=red>{1}</color>,{0} + <color=red>{1}</color>,{0} + <color=red>{1}</color>,
Format_Buff_MAtk,{0} + <color=red>{1}</color>,{0} + <color=red>{1}</color>,{0} + <color=red>{1}</color>,
Format_Buff_MDef,{0} + <color=red>{1}</color>,{0} + <color=red>{1}</color>,{0} + <color=red>{1}</color>,
Format_Buff_Wait,{0} + <color=red>{1}</color>,{0} + <color=red>{1}</color>,{0} + <color=red>{1}</color>,
Format_Debuff_Atk,{0} - <color=blue>{1}</color>,{0} - <color=blue>{1}</color>,{0} - <color=blue>{1}</color>,
Format_Debuff_Def,{0} - <color=blue>{1}</color>,{0} - <color=blue>{1}</color>,{0} - <color=blue>{1}</color>,
Format_Debuff_MAtk,{0} - <color=blue>{1}</color>,{0} - <color=blue>{1}</color>,{0} - <color=blue>{1}</color>,
Format_Debuff_MDef,{0} - <color=blue>{1}</color>,{0} - <color=blue>{1}</color>,{0} - <color=blue>{1}</color>,
Format_Debuff_Wait,{0} - <color=blue>{1}</color>,{0} - <color=blue>{1}</color>,{0} - <color=blue>{1}</color>,
Format_BuffCancel_Atk,解除 {0} x <color=red>{1}</color>,Cancel {0} x <color=red>{1}</color>,解除 {0} x <color=red>{1}</color>,
Format_BuffCancel_Def,解除 {0} x <color=red>{1}</color>,Cancel {0} x <color=red>{1}</color>,解除 {0} x <color=red>{1}</color>,
Format_BuffCancel_MAtk,解除 {0} x <color=red>{1}</color>,Cancel {0} x <color=red>{1}</color>,解除 {0} x <color=red>{1}</color>,
Format_BuffCancel_MDef,解除 {0} x <color=red>{1}</color>,Cancel {0} x <color=red>{1}</color>,解除 {0} x <color=red>{1}</color>,
Format_BuffCancel_Wait,解除 {0} x <color=red>{1}</color>,Cancel {0} x <color=red>{1}</color>,解除 {0} x <color=red>{1}</color>,
Format_BuffCancel_All,解除 {0} x <color=red>{1}</color>,Cancel {0} x <color=red>{1}</color>,解除 {0} x <color=red>{1}</color>,
Format_DebuffCancel_Atk,解除 {0} x <color=red>{1}</color>,Cancel {0} x <color=red>{1}</color>,解除 {0} x <color=red>{1}</color>,
Format_DebuffCancel_Def,解除 {0} x <color=red>{1}</color>,Cancel {0} x <color=red>{1}</color>,解除 {0} x <color=red>{1}</color>,
Format_DebuffCancel_MAtk,解除 {0} x <color=red>{1}</color>,Cancel {0} x <color=red>{1}</color>,解除 {0} x <color=red>{1}</color>,
Format_DebuffCancel_MDef,解除 {0} x <color=red>{1}</color>,Cancel {0} x <color=red>{1}</color>,解除 {0} x <color=red>{1}</color>,
Format_DebuffCancel_Wait,解除 {0} x <color=red>{1}</color>,Cancel {0} x <color=red>{1}</color>,解除 {0} x <color=red>{1}</color>,
Format_DebuffCancel_All,解除 {0} x <color=red>{1}</color>,Cancel {0} x <color=red>{1}</color>,解除 {0} x <color=red>{1}</color>,
SkillDesc_01,パッシブ,Passive,被動,
SkillDesc_02,[P],[P],[被],
SkillDesc_03,クールタイム:{0},CoolTime:{0},冷靜時間:{0},
SkillDesc_04,所持数:,Possession:,擁有:,
